subgroup,n,prevalence,pred_pos_rate,auroc,tpr,fpr,ppv,ece,attribute,dpd,tpr_gap,fpr_gap,ppv_gap,auroc_gap,eod,reference_group,model
White,829,0.46562123039806996,0.41254523522316044,0.6756979613796653,0.5492227979274611,0.29345372460496616,0.6198830409356725,0.013387003013429037,race,0.0,0.0,0.0,0.0,0.0,0.0,White,LR
Black,332,0.572289156626506,0.5933734939759037,0.6633432171979244,0.6736842105263158,0.4859154929577465,0.649746192893401,0.051137823014969185,race,0.18082825875274322,0.12446141259885468,0.19246176835278034,0.029863151957728484,-0.012354744181740873,0.19246176835278034,White,LR
Other,90,0.45555555555555555,0.4888888888888889,0.611747137879542,0.5853658536585366,0.40816326530612246,0.5454545454545454,0.09213715372509128,race,0.07634365366572843,0.03614305573107546,0.1147095407011563,-0.07442849548112707,-0.06395082350012327,0.1147095407011563,White,LR
Hispanic,149,0.5167785234899329,0.5167785234899329,0.6951659451659452,0.6363636363636364,0.3888888888888889,0.6363636363636364,0.08827796096014293,race,0.10423328826677247,0.08714083843617526,0.09543516428392274,0.016480595427963873,0.019467983786279897,0.09543516428392274,White,LR
Asian,100,0.45,0.43,0.7046464646464646,0.6,0.2909090909090909,0.627906976744186,0.09759724180669699,race,0.01745476477683955,0.050777202072538885,-0.0025446336958752647,0.008023935808513571,0.02894850326679932,0.050777202072538885,White,LR
Male,853,0.5005861664712778,0.451348182883939,0.6821475299886752,0.5667447306791569,0.33568075117370894,0.6285714285714286,0.02680633690763463,sex,0.0,0.0,0.0,0.0,0.0,0.0,Male,LR
Female,647,0.482225656877898,0.49149922720247297,0.6737275162648297,0.6346153846153846,0.3582089552238806,0.6226415094339622,0.04759030387256531,sex,0.040151044318533946,0.06787065393622771,0.02252820405017164,-0.005929919137466322,-0.008420013723845488,0.06787065393622771,Male,LR
Private,496,0.5020161290322581,0.5161290322580645,0.6733330081459442,0.6345381526104418,0.3967611336032389,0.6171875,0.03558518866322759,insurance,0.055079747679368185,0.06671480876186131,0.0441970310391363,-0.0035021551724138122,0.00627201971271607,0.06671480876186131,Medicare,LR
Medicaid,284,0.46830985915492956,0.4225352112676056,0.6971567992829756,0.5864661654135338,0.2781456953642384,0.65,0.03500480284600926,insurance,-0.03851407331109069,0.018642821564953338,-0.0744184071998642,0.02931034482758621,0.03009581084974744,0.0744184071998642,Medicare,LR
Medicare,629,0.5039745627980922,0.4610492845786963,0.6670609884332281,0.5678233438485805,0.3525641025641026,0.6206896551724138,0.035775952159954015,insurance,0.0,0.0,0.0,0.0,0.0,0.0,Medicare,LR
Self-pay,91,0.43956043956043955,0.4065934065934066,0.7058823529411765,0.6,0.2549019607843137,0.6486486486486487,0.09804274555159039,insurance,-0.054455877985289725,0.032176656151419514,-0.09766214177978888,0.027958993476234872,0.038821364507948375,0.09766214177978888,Medicare,LR
White,829,0.46562123039806996,0.4294330518697226,0.6528146528029568,0.5362694300518135,0.3363431151241535,0.5814606741573034,0.01761134833421006,race,0.0,0.0,0.0,0.0,0.0,0.0,White,XGBoost
Black,332,0.572289156626506,0.5903614457831325,0.6426241660489251,0.6842105263157895,0.4647887323943662,0.6632653061224489,0.04323497064501406,race,0.16092839391340996,0.147941096263976,0.1284456172702127,0.08180463196514554,-0.010190486754031669,0.147941096263976,White,XGBoost
Other,90,0.45555555555555555,0.4888888888888889,0.6087605774016924,0.6097560975609756,0.3877551020408163,0.5681818181818182,0.11527235872215695,race,0.05945583701916629,0.0734866675091621,0.05141198691666282,-0.013278855975485171,-0.04405407540126438,0.0734866675091621,White,XGBoost
Hispanic,149,0.5167785234899329,0.5167785234899329,0.7038239538239538,0.6623376623376623,0.3611111111111111,0.6623376623376623,0.06657108494499386,race,0.08734547162021034,0.12606823228584885,0.024767995986957614,0.08087698818035893,0.05100930102099699,0.12606823228584885,White,XGBoost
Asian,100,0.45,0.46,0.661010101010101,0.6,0.34545454545454546,0.5869565217391305,0.08328576624393463,race,0.030566948130277438,0.06373056994818649,0.009111430330391967,0.005495847581827085,0.00819544820714424,0.06373056994818649,White,XGBoost
Male,853,0.5005861664712778,0.4654161781946073,0.6721311475409836,0.5925058548009368,0.3380281690140845,0.6372795969773299,0.018854473410709255,sex,0.0,0.0,0.0,0.0,0.0,0.0,Male,XGBoost
Female,647,0.482225656877898,0.49768160741885625,0.6412217757367011,0.5993589743589743,0.40298507462686567,0.5807453416149069,0.05203078380876569,sex,0.032265429224248965,0.006853119558037579,0.06495690561278117,-0.05653425536242307,-0.030909371804282437,0.06495690561278117,Male,XGBoost
Private,496,0.5020161290322581,0.5282258064516129,0.6385054387590849,0.6224899598393574,0.4331983805668016,0.5916030534351145,0.021036356086692496,insurance,0.0624070465152059,0.04204831946080845,0.08383940620782726,-0.036383294687752366,-0.0226002799176116,0.08383940620782726,Medicare,XGBoost
Medicaid,284,0.46830985915492956,0.4507042253521127,0.6808245780012947,0.5939849624060151,0.32450331125827814,0.6171875,0.0388729678283275,insurance,-0.015114534584294292,0.01354332202746611,-0.0248556631006962,-0.010798848122866911,0.01971885932459816,0.0248556631006962,Medicare,XGBoost
Medicare,629,0.5039745627980922,0.465818759936407,0.6611057186766965,0.580441640378549,0.34935897435897434,0.6279863481228669,0.03742694731547079,insurance,0.0,0.0,0.0,0.0,0.0,0.0,Medicare,XGBoost
Self-pay,91,0.43956043956043955,0.3956043956043956,0.6583333333333333,0.55,0.27450980392156865,0.6111111111111112,0.05634360785012717,insurance,-0.07021436433201139,-0.030441640378548906,-0.07484917043740569,-0.01687523701175575,-0.002772385343363215,0.07484917043740569,Medicare,XGBoost
White,829,0.46562123039806996,0.45476477683956573,0.5487578802091253,0.5,0.4153498871331828,0.5119363395225465,0.39832354334382203,race,0.0,0.0,0.0,0.0,0.0,0.0,White,MLP
Black,332,0.572289156626506,0.5451807228915663,0.5093031875463305,0.5368421052631579,0.5563380281690141,0.56353591160221,0.4610561941747988,race,0.09041594605200054,0.0368421052631579,0.1409881410358313,0.05159957207966348,-0.03945469266279478,0.1409881410358313,White,MLP
Other,90,0.45555555555555555,0.5333333333333333,0.4952712792434047,0.5365853658536586,0.5306122448979592,0.4583333333333333,0.4824648892521438,race,0.0785685564937676,0.03658536585365857,0.11526235776477639,-0.053603006189213154,-0.05348660096572061,0.11526235776477639,White,MLP
Hispanic,149,0.5167785234899329,0.5503355704697986,0.518939393939394,0.5584415584415584,0.5416666666666666,0.524390243902439,0.4576511427451305,race,0.09557079363023291,0.058441558441558406,0.1263167795334838,0.012453904379892577,-0.02981848626973127,0.1263167795334838,White,MLP
Asian,100,0.45,0.51,0.5414141414141413,0.5333333333333333,0.4909090909090909,0.47058823529411764,0.4539332129808018,race,0.05523522316043428,0.033333333333333326,0.07555920377590808,-0.04134810422842883,-0.007343738794983956,0.07555920377590808,White,MLP
Male,853,0.5005861664712778,0.4935521688159437,0.541351936757155,0.5175644028103045,0.4694835680751174,0.5249406175771971,0.42825904484703325,sex,0.0,0.0,0.0,0.0,0.0,0.0,Male,MLP
Female,647,0.482225656877898,0.49149922720247297,0.5289800995024875,0.5224358974358975,0.4626865671641791,0.5125786163522013,0.4216134267069893,sex,-0.002052941613470749,0.004871494625592998,-0.006797000910938267,-0.012362001224995867,-0.012371837254667506,0.006797000910938267,Male,MLP
Private,496,0.5020161290322581,0.5120967741935484,0.5020811992910914,0.5060240963855421,0.5182186234817814,0.49606299212598426,0.4539141628975912,insurance,0.028789937945535637,-0.01448063547565659,0.07270580296896084,-0.04670016576875258,-0.0572591711691528,0.07270580296896084,Medicare,MLP
Medicaid,284,0.46830985915492956,0.4823943661971831,0.5622168002788428,0.5488721804511278,0.423841059602649,0.5328467153284672,0.3835882830306836,insurance,-0.0009124700508296169,0.028367448589929123,-0.021671760910171534,-0.009916442566269668,0.0028764298185985915,0.028367448589929123,Medicare,MLP
Medicare,629,0.5039745627980922,0.48330683624801274,0.5593403704602442,0.5205047318611987,0.44551282051282054,0.5427631578947368,0.4146633456279111,insurance,0.0,0.0,0.0,0.0,0.0,0.0,Medicare,MLP
Self-pay,91,0.43956043956043955,0.4835164835164835,0.4495098039215686,0.5,0.47058823529411764,0.45454545454545453,0.4860101166114453,insurance,0.00020964726847078063,-0.02050473186119872,0.0250754147812971,-0.0882177033492823,-0.10983056653867562,0.0250754147812971,Medicare,MLP
